time,temperature,radiation,SOLAR,CARBON_INTENSITY
2024-01-01 00:00:00,7.8,0.0,0.0,68.5
2024-01-01 01:00:00,7.6,0.0,0.0,67.0
2024-01-01 02:00:00,7.4,0.0,0.0,72.0
2024-01-01 03:00:00,7.1,0.0,0.0,68.0
2024-01-01 04:00:00,7.0,0.0,0.0,61.0
2024-01-01 05:00:00,6.8,0.0,0.0,59.5
2024-01-01 06:00:00,6.8,0.0,0.0,61.5
2024-01-01 07:00:00,6.5,0.0,0.0,61.5
2024-01-01 08:00:00,6.3,0.0,76.0,52.5
2024-01-01 09:00:00,5.9,0.0,1139.5,49.0
2024-01-01 10:00:00,6.4,16.0,2460.5,54.5
2024-01-01 11:00:00,7.1,71.0,2724.0,69.0
2024-01-01 12:00:00,7.8,133.0,2079.0,89.0
2024-01-01 13:00:00,8.4,155.0,1225.5,108.5
2024-01-01 14:00:00,8.5,138.0,385.0,118.5
2024-01-01 15:00:00,8.7,100.0,20.5,116.5
2024-01-01 16:00:00,8.6,45.0,0.0,117.5
2024-01-01 17:00:00,8.0,6.0,0.0,114.5
2024-01-01 18:00:00,8.0,0.0,0.0,102.0
2024-01-01 19:00:00,8.6,0.0,0.0,81.5
2024-01-01 20:00:00,9.1,0.0,0.0,60.0
2024-01-01 21:00:00,9.4,0.0,0.0,45.0
2024-01-01 22:00:00,9.6,0.0,0.0,45.0
2024-01-01 23:00:00,10.1,0.0,0.0,50.0
2024-01-02 00:00:00,11.0,0.0,0.0,52.0
2024-01-02 01:00:00,12.2,0.0,0.0,58.0
2024-01-02 02:00:00,12.4,0.0,0.0,54.0
2024-01-02 03:00:00,12.3,0.0,0.0,56.5
2024-01-02 04:00:00,11.5,0.0,0.0,58.0
2024-01-02 05:00:00,11.1,0.0,0.0,65.0
2024-01-02 06:00:00,10.7,0.0,0.0,77.0
2024-01-02 07:00:00,10.7,0.0,0.0,102.0
2024-01-02 08:00:00,10.8,0.0,0.0,108.0
2024-01-02 09:00:00,10.9,0.0,44.0,124.5
2024-01-02 10:00:00,11.1,3.0,171.0,138.5
2024-01-02 11:00:00,11.2,7.0,355.0,146.5
2024-01-02 12:00:00,12.6,25.0,452.0,151.0
2024-01-02 13:00:00,12.7,22.0,618.5,154.5
2024-01-02 14:00:00,12.2,22.0,451.5,154.0
2024-01-02 15:00:00,12.9,32.0,122.0,147.5
2024-01-02 16:00:00,12.2,37.0,0.0,143.0
2024-01-02 17:00:00,11.0,7.0,0.0,140.0
2024-01-02 18:00:00,10.2,0.0,0.0,132.0
2024-01-02 19:00:00,10.3,0.0,0.0,124.0
2024-01-02 20:00:00,9.8,0.0,0.0,107.0
2024-01-02 21:00:00,9.3,0.0,0.0,91.0
2024-01-02 22:00:00,9.0,0.0,0.0,72.0
2024-01-02 23:00:00,8.9,0.0,0.0,71.0
2024-01-03 00:00:00,8.5,0.0,0.0,69.0
2024-01-03 01:00:00,8.4,0.0,0.0,67.0
2024-01-03 02:00:00,8.6,0.0,0.0,71.0
2024-01-03 03:00:00,8.3,0.0,0.0,76.0
2024-01-03 04:00:00,8.4,0.0,0.0,79.0
2024-01-03 05:00:00,8.7,0.0,0.0,80.5
2024-01-03 06:00:00,8.9,0.0,0.0,95.0
2024-01-03 07:00:00,8.3,0.0,0.0,120.5
2024-01-03 08:00:00,7.8,0.0,95.5,140.0
2024-01-03 09:00:00,7.7,0.0,717.5,146.0
2024-01-03 10:00:00,8.3,20.0,1522.5,147.5
2024-01-03 11:00:00,9.3,85.0,1866.0,153.5
2024-01-03 12:00:00,10.3,151.0,2022.5,159.0
2024-01-03 13:00:00,10.4,131.0,1731.5,164.5
2024-01-03 14:00:00,10.2,138.0,866.5,170.0
2024-01-03 15:00:00,9.8,123.0,148.5,172.0
2024-01-03 16:00:00,9.4,80.0,0.0,170.5
2024-01-03 17:00:00,8.8,24.0,0.0,172.0
2024-01-03 18:00:00,8.2,0.0,0.0,173.0
2024-01-03 19:00:00,7.4,0.0,0.0,168.0
2024-01-03 20:00:00,7.1,0.0,0.0,154.0
2024-01-03 21:00:00,6.9,0.0,0.0,135.0
2024-01-03 22:00:00,6.8,0.0,0.0,119.5
2024-01-03 23:00:00,6.5,0.0,0.0,114.0
2024-01-04 00:00:00,6.3,0.0,0.0,116.0
2024-01-04 01:00:00,6.2,0.0,0.0,103.5
2024-01-04 02:00:00,7.0,0.0,0.0,98.0
2024-01-04 03:00:00,7.6,0.0,0.0,92.5
2024-01-04 04:00:00,7.2,0.0,0.0,99.0
2024-01-04 05:00:00,6.7,0.0,0.0,100.0
2024-01-04 06:00:00,6.3,0.0,0.0,128.5
2024-01-04 07:00:00,6.0,0.0,0.0,193.5
2024-01-04 08:00:00,5.5,0.0,118.0,206.0
2024-01-04 09:00:00,5.0,0.0,1203.0,200.0
2024-01-04 10:00:00,5.0,22.0,2019.0,199.0
2024-01-04 11:00:00,6.2,107.0,2096.5,202.0
2024-01-04 12:00:00,7.3,151.0,1674.0,213.0
2024-01-04 13:00:00,8.1,136.0,1040.5,225.5
2024-01-04 14:00:00,8.3,115.0,423.5,237.0
2024-01-04 15:00:00,8.3,66.0,66.5,237.5
2024-01-04 16:00:00,8.0,37.0,0.0,238.0
2024-01-04 17:00:00,7.7,6.0,0.0,241.0
